  Standard Error= .652926E-02
  Parameter 1= .653430E+04
  Parameter 2= .515771E+03
  Parameter 3= .120402E-03
  Parameter 4= .756393E+03
  Parameter 5= .101695E+00
  Parameter 6= .336921E+03
  Parameter 7= .333709E+03
  Parameter 8= .330787E+03
  Parameter 9= .328348E+03
  Parameter10= .326612E+03
   .328332E+03   .137700E+04   .174353E+04
   .328364E+03   .165900E+04   .174427E+04
   .328395E+03   .217900E+04   .198845E+04
   .328426E+03   .287500E+04   .245915E+04
   .328457E+03   .328200E+04   .313990E+04
   .328489E+03   .314700E+04   .272091E+04
   .328520E+03   .264400E+04   .242533E+04
   .328551E+03   .199200E+04   .199705E+04
   .328583E+03   .124300E+04   .130131E+04
   .328614E+03   .953000E+03   .989927E+03
   .328645E+03   .805000E+03   .893456E+03
   .328677E+03   .784000E+03   .854212E+03
   .328708E+03   .781000E+03   .840305E+03
   .328739E+03   .706000E+03   .830447E+03
   .328770E+03   .746000E+03   .816678E+03
   .328802E+03   .713000E+03   .804339E+03
   .328833E+03   .747000E+03   .810838E+03
   .328864E+03   .723000E+03   .811169E+03
   .328896E+03   .787000E+03   .805074E+03
   .328927E+03   .756000E+03   .794674E+03
   .328958E+03   .736000E+03   .805668E+03
   .328989E+03   .728000E+03   .807679E+03
   .329021E+03   .742000E+03   .802891E+03
   .329052E+03   .819000E+03   .794676E+03
   .329083E+03   .801000E+03   .806433E+03
   .329115E+03   .849000E+03   .810079E+03
   .329146E+03   .899000E+03   .805731E+03
   .329177E+03   .883000E+03   .801218E+03
   .329208E+03   .883000E+03   .809214E+03
   .329240E+03   .965000E+03   .814095E+03
   .329271E+03   .954000E+03   .811524E+03
   .329302E+03   .880000E+03   .814892E+03
   .329333E+03   .931000E+03   .814767E+03
   .329365E+03   .912000E+03   .816778E+03
   .329396E+03   .800000E+03   .823328E+03
   .329427E+03   .763000E+03   .829426E+03
   .329459E+03   .713000E+03   .823883E+03
   .329490E+03   .713000E+03   .821160E+03
   .329521E+03   .691000E+03   .845697E+03
   .329552E+03   .705000E+03   .829700E+03
   .329584E+03   .736000E+03   .832804E+03
   .329615E+03   .784000E+03   .855057E+03
   .329646E+03   .864000E+03   .847705E+03
   .329678E+03   .807000E+03   .843704E+03
   .329709E+03   .864000E+03   .853789E+03
   .329740E+03   .906000E+03   .875606E+03
   .329771E+03   .817000E+03   .848761E+03
   .329803E+03   .871000E+03   .860900E+03
   .329834E+03   .865000E+03   .898723E+03
   .329865E+03   .912000E+03   .857510E+03
   .329896E+03   .930000E+03   .883168E+03
   .329928E+03   .867000E+03   .911085E+03
   .329959E+03   .816000E+03   .874719E+03
   .329990E+03   .864000E+03   .915814E+03
   .330022E+03   .785000E+03   .906091E+03
   .330053E+03   .795000E+03   .906821E+03
   .330084E+03   .851000E+03   .941348E+03
   .330115E+03   .869000E+03   .914839E+03
   .330147E+03   .880000E+03   .965770E+03
   .330178E+03   .838000E+03   .912201E+03
   .330209E+03   .880000E+03   .961515E+03
   .330240E+03   .858000E+03   .950497E+03
   .330272E+03   .915000E+03   .951438E+03
   .330303E+03   .853000E+03   .100896E+04
   .330334E+03   .897000E+03   .938298E+03
   .330366E+03   .962000E+03   .104563E+04
   .330397E+03   .928000E+03   .959188E+03
   .330428E+03   .920000E+03   .104354E+04
   .330459E+03   .896000E+03   .100243E+04
   .330491E+03   .928000E+03   .102753E+04
   .330522E+03   .960000E+03   .103555E+04
   .330553E+03   .968000E+03   .104630E+04
   .330584E+03   .102900E+04   .104507E+04
   .330616E+03   .985000E+03   .106545E+04
   .330647E+03   .952000E+03   .107235E+04
   .330678E+03   .899000E+03   .106550E+04
   .330709E+03   .890000E+03   .108079E+04
   .330741E+03   .928000E+03   .109005E+04
   .330772E+03   .105600E+04   .112435E+04
   .330803E+03   .123500E+04   .113586E+04
   .330834E+03   .136200E+04   .122298E+04
   .330866E+03   .155400E+04   .140087E+04
   .330897E+03   .176000E+04   .167030E+04
   .330928E+03   .172000E+04   .156179E+04
   .330959E+03   .145800E+04   .135747E+04
   .330991E+03   .114500E+04   .115724E+04
   .331022E+03   .936000E+03   .896986E+03
   .331053E+03   .859000E+03   .832953E+03
   .331084E+03   .733000E+03   .817334E+03
   .331116E+03   .683000E+03   .803649E+03
   .331147E+03   .681000E+03   .788853E+03
   .331178E+03   .667000E+03   .781156E+03
   .331209E+03   .721000E+03   .784327E+03
   .331241E+03   .753000E+03   .789646E+03
   .331272E+03   .696000E+03   .788207E+03
   .331303E+03   .683000E+03   .781354E+03
   .331334E+03   .683000E+03   .777413E+03
   .331366E+03   .704000E+03   .786317E+03
   .331397E+03   .707000E+03   .789467E+03
   .331428E+03   .755000E+03   .786387E+03
   .331459E+03   .785000E+03   .775314E+03
   .331491E+03   .757000E+03   .779381E+03
   .331522E+03   .704000E+03   .798246E+03
   .331553E+03   .656000E+03   .797411E+03
   .331584E+03   .696000E+03   .786685E+03
   .331616E+03   .765000E+03   .777078E+03
   .331647E+03   .848000E+03   .794161E+03
   .331678E+03   .770000E+03   .797804E+03
   .331709E+03   .773000E+03   .797595E+03
   .331741E+03   .707000E+03   .791111E+03
   .331772E+03   .667000E+03   .799359E+03
   .331803E+03   .672000E+03   .804460E+03
   .331834E+03   .760000E+03   .802835E+03
   .331866E+03   .833000E+03   .795115E+03
   .331897E+03   .763000E+03   .795636E+03
   .331928E+03   .681000E+03   .816907E+03
   .331959E+03   .688000E+03   .825489E+03
   .331991E+03   .737000E+03   .817959E+03
   .332022E+03   .729000E+03   .805255E+03
   .332053E+03   .866000E+03   .822224E+03
   .332084E+03   .902000E+03   .823226E+03
   .332116E+03   .753000E+03   .822467E+03
   .332147E+03   .742000E+03   .829792E+03
   .332178E+03   .696000E+03   .847329E+03
   .332209E+03   .769000E+03   .841681E+03
   .332241E+03   .837000E+03   .835622E+03
   .332272E+03   .928000E+03   .847697E+03
   .332303E+03   .896000E+03   .835448E+03
   .332334E+03   .805000E+03   .845648E+03
   .332365E+03   .771000E+03   .876424E+03
   .332397E+03   .769000E+03   .891862E+03
   .332428E+03   .929000E+03   .858009E+03
   .332459E+03   .100300E+04   .854114E+03
   .332490E+03   .937000E+03   .893486E+03
   .332522E+03   .867000E+03   .860914E+03
   .332553E+03   .769000E+03   .892159E+03
   .332584E+03   .817000E+03   .942009E+03
   .332615E+03   .954000E+03   .911451E+03
