  Standard Error= .345357E-02
  Parameter 1= .673421E+04
  Parameter 2= .614526E+03
  Parameter 3= .138855E-03
  Parameter 4= .693110E+03
  Parameter 5= .123704E+00
  Parameter 6= .336921E+03
  Parameter 7= .333697E+03
  Parameter 8= .330788E+03
  Parameter 9= .328350E+03
  Parameter10= .326612E+03
   .328332E+03   .137700E+04   .167566E+04
   .328364E+03   .165900E+04   .185976E+04
   .328395E+03   .217900E+04   .217981E+04
   .328426E+03   .287500E+04   .262932E+04
   .328457E+03   .328200E+04   .325888E+04
   .328489E+03   .314700E+04   .291586E+04
   .328520E+03   .264400E+04   .257433E+04
   .328551E+03   .199200E+04   .206966E+04
   .328583E+03   .124300E+04   .137945E+04
   .328614E+03   .953000E+03   .100143E+04
   .328645E+03   .805000E+03   .876319E+03
   .328677E+03   .784000E+03   .824240E+03
   .328708E+03   .781000E+03   .807053E+03
   .328739E+03   .706000E+03   .792451E+03
   .328770E+03   .746000E+03   .776139E+03
   .328802E+03   .713000E+03   .759774E+03
   .328833E+03   .747000E+03   .767417E+03
   .328864E+03   .723000E+03   .765646E+03
   .328896E+03   .787000E+03   .760799E+03
   .328927E+03   .756000E+03   .748946E+03
   .328958E+03   .736000E+03   .760347E+03
   .328989E+03   .728000E+03   .759304E+03
   .329021E+03   .742000E+03   .757483E+03
   .329052E+03   .819000E+03   .748606E+03
   .329083E+03   .801000E+03   .760087E+03
   .329115E+03   .849000E+03   .762004E+03
   .329146E+03   .899000E+03   .762344E+03
   .329177E+03   .883000E+03   .756736E+03
   .329208E+03   .883000E+03   .761777E+03
   .329240E+03   .965000E+03   .765633E+03
   .329271E+03   .954000E+03   .767492E+03
   .329302E+03   .880000E+03   .770809E+03
   .329333E+03   .931000E+03   .765438E+03
   .329365E+03   .912000E+03   .773297E+03
   .329396E+03   .800000E+03   .781438E+03
   .329427E+03   .763000E+03   .781997E+03
   .329459E+03   .713000E+03   .773696E+03
   .329490E+03   .713000E+03   .779525E+03
   .329521E+03   .691000E+03   .803424E+03
   .329552E+03   .705000E+03   .778559E+03
   .329584E+03   .736000E+03   .788632E+03
   .329615E+03   .784000E+03   .811557E+03
   .329646E+03   .864000E+03   .796107E+03
   .329678E+03   .807000E+03   .796928E+03
   .329709E+03   .864000E+03   .812906E+03
   .329740E+03   .906000E+03   .823514E+03
   .329771E+03   .817000E+03   .800506E+03
   .329803E+03   .871000E+03   .816618E+03
   .329834E+03   .865000E+03   .841038E+03
   .329865E+03   .912000E+03   .812167E+03
   .329896E+03   .930000E+03   .838976E+03
   .329928E+03   .867000E+03   .854584E+03
   .329959E+03   .816000E+03   .826735E+03
   .329990E+03   .864000E+03   .854548E+03
   .330022E+03   .785000E+03   .852372E+03
   .330053E+03   .795000E+03   .855459E+03
   .330084E+03   .851000E+03   .873436E+03
   .330115E+03   .869000E+03   .867559E+03
   .330147E+03   .880000E+03   .892828E+03
   .330178E+03   .838000E+03   .857950E+03
   .330209E+03   .880000E+03   .895893E+03
   .330240E+03   .858000E+03   .888083E+03
   .330272E+03   .915000E+03   .890957E+03
   .330303E+03   .853000E+03   .928156E+03
   .330334E+03   .897000E+03   .875029E+03
   .330366E+03   .962000E+03   .955928E+03
   .330397E+03   .928000E+03   .893221E+03
   .330428E+03   .920000E+03   .959304E+03
   .330459E+03   .896000E+03   .916619E+03
   .330491E+03   .928000E+03   .944767E+03
   .330522E+03   .960000E+03   .933439E+03
   .330553E+03   .968000E+03   .949540E+03
   .330584E+03   .102900E+04   .959907E+03
   .330616E+03   .985000E+03   .974931E+03
   .330647E+03   .952000E+03   .969259E+03
   .330678E+03   .899000E+03   .961194E+03
   .330709E+03   .890000E+03   .980420E+03
   .330741E+03   .928000E+03   .100944E+04
   .330772E+03   .105600E+04   .108623E+04
   .330803E+03   .123500E+04   .116014E+04
   .330834E+03   .136200E+04   .125740E+04
   .330866E+03   .155400E+04   .142209E+04
   .330897E+03   .176000E+04   .166998E+04
   .330928E+03   .172000E+04   .158168E+04
   .330959E+03   .145800E+04   .136908E+04
   .330991E+03   .114500E+04   .113845E+04
   .331022E+03   .936000E+03   .875669E+03
   .331053E+03   .859000E+03   .806705E+03
   .331084E+03   .733000E+03   .788092E+03
   .331116E+03   .683000E+03   .764411E+03
   .331147E+03   .681000E+03   .738485E+03
   .331178E+03   .667000E+03   .731686E+03
   .331209E+03   .721000E+03   .742808E+03
   .331241E+03   .753000E+03   .746230E+03
   .331272E+03   .696000E+03   .744632E+03
   .331303E+03   .683000E+03   .739766E+03
   .331334E+03   .683000E+03   .738041E+03
   .331366E+03   .704000E+03   .745253E+03
   .331397E+03   .707000E+03   .745214E+03
   .331428E+03   .755000E+03   .735959E+03
   .331459E+03   .785000E+03   .724814E+03
   .331491E+03   .757000E+03   .743405E+03
   .331522E+03   .704000E+03   .768082E+03
   .331553E+03   .656000E+03   .765492E+03
   .331584E+03   .696000E+03   .737137E+03
   .331616E+03   .765000E+03   .732618E+03
   .331647E+03   .848000E+03   .753802E+03
   .331678E+03   .770000E+03   .759191E+03
   .331709E+03   .773000E+03   .759654E+03
   .331741E+03   .707000E+03   .763784E+03
   .331772E+03   .667000E+03   .783118E+03
   .331803E+03   .672000E+03   .770143E+03
   .331834E+03   .760000E+03   .763454E+03
   .331866E+03   .833000E+03   .746813E+03
   .331897E+03   .763000E+03   .766271E+03
   .331928E+03   .681000E+03   .786399E+03
   .331959E+03   .688000E+03   .812236E+03
   .331991E+03   .737000E+03   .791152E+03
   .332022E+03   .729000E+03   .780376E+03
   .332053E+03   .866000E+03   .781542E+03
   .332084E+03   .902000E+03   .784768E+03
   .332116E+03   .753000E+03   .784112E+03
   .332147E+03   .742000E+03   .822600E+03
